time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
30.27,0.00168043667940646,0.0682876437131765,0.0261279978137121,8.02791482242167e-06,0.000578008445698218,0.000129600135556318,125.388048614152,0.409751110072795,0.0651274121382768,8.0109351084796e-06,0.0031603098211078,0.633493603891869,-2.2654867617294e-05,-9.83252976238476,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.344956999784,3.26304527935154,-0.396264421865084
30.28,0.0016806060902773,0.0682934189122024,0.0261293066591606,7.99182484194771e-06,0.000577468489654112,0.000129617354738442,125.387661633549,0.409749868079569,0.0651274165011623,8.02881260843001e-06,0.00316608064438068,0.633496702080406,-2.27760854093095e-05,-9.83246147969685,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.34456357085,3.26320006354829,-0.396986785304358
30.29,0.00168077515976242,0.0682991887075134,0.0261306156693906,7.95588099474531e-06,0.000576927803388973,0.000129634532735067,125.387274163769,0.409748624528796,0.0651274208492883,8.04662070483456e-06,0.0031718460787757,0.633499804017463,-2.28968235718899e-05,-9.83239310614928,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.344169650315,3.26335484867414,-0.39770846701914
30.3,0.00168094388928575,0.0683049530918143,0.0261319248439737,7.92008268375548e-06,0.000576386388121144,0.000129651669719144,125.386886205437,0.40974737942248,0.0651274251825631,8.06435968186262e-06,0.00317760611708935,0.633502909697227,-2.30170840655676e-05,-9.83232464184546,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.34377523882,3.26350963471401,-0.398429466106011
30.31,0.00168111228026539,0.0683107120578225,0.0261332341824835,7.88442931436725e-06,0.000575844245070273,0.000129668765862915,125.386497759179,0.409746132762627,0.0651274295008989,8.08202982251717e-06,0.00318336075212617,0.63350601911391,-2.31368688428212e-05,-9.83225608688931,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.343380337006,3.26366442165295,-0.399149781662606
30.32,0.00168128033411358,0.0683164655982671,0.0261345436844949,7.84892029440757e-06,0.000575301375457034,0.000129685821337908,125.386108825622,0.409744884551245,0.0651274338042126,8.09963140863966e-06,0.00318910997669859,0.633509132261759,-2.32561798481307e-05,-9.83218744138537,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.342984945514,3.26381920947615,-0.399869412787593
30.33,0.00168144805223677,0.0683222137058897,0.026135853349585,7.81355503413138e-06,0.000574757780502827,0.000129702836314944,125.385719405392,0.409743634790344,0.0651274380924246,8.1171647209147e-06,0.00319485378362717,0.633512249135048,-2.33750190180006e-05,-9.8321187054387,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.342589064986,3.26397399816895,-0.400588358580704
30.34,0.00168161543603562,0.0683279563734442,0.0261371631773323,7.77833294621167e-06,0.000574213461429506,0.000129719810964141,125.385329499119,0.409742383481934,0.06512744236546,8.13463003887481e-06,0.00320059216574058,0.633515369728081,-2.34933882809888e-05,-9.83204987915492,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.342192696067,3.26412878771681,-0.401306618142726
30.35,0.00168178248690501,0.0683336935936966,0.0261384731673172,7.74325344572955e-06,0.0005736684194591,0.000129736745454915,125.384939107428,0.40974113062803,0.0651274466232475,8.15202764090521e-06,0.00320632511587564,0.633518494035191,-2.36112895577532e-05,-9.83198096264021,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.341795839398,3.26428357810534,-0.402024190575521
30.36,0.00168194920623409,0.0683394253594249,0.0261397833191219,7.70831595016442e-06,0.000573122655813549,0.000129753639955981,125.384548230951,0.409739876230647,0.0651274508657201,8.16935780424843e-06,0.00321205262687725,0.633521622050739,-2.37287247610663e-05,-9.83191195600126,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.341398495625,3.26443836932028,-0.402741074981996
30.37,0.00168211559540632,0.0683451516634197,0.02614109363233,7.67351987938414e-06,0.00057257617171444,0.000129770494635361,125.384156870315,0.409738620291802,0.0651274550928148,8.18662080500907e-06,0.00321777469159872,0.633524753769115,-2.38456957958611e-05,-9.83184285934533,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.341000665391,3.26459316134753,-0.403457270466166
30.38,0.00168228165579943,0.0683508724984836,0.0261424041065273,7.63886465563526e-06,0.000572028968382754,0.000129787309660383,125.383765026152,0.409737362813513,0.0651274593044724,8.20381691815841e-06,0.00322349130290149,0.633527889184737,-2.39622045592549e-05,-9.8317736727802,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.340602349343,3.2647479541731,-0.404172776133104
30.39,0.0016824473887855,0.0683565878574314,0.0261437147413008,7.60434970353327e-06,0.000571481047038622,0.000129804085197683,125.383372699091,0.409736103797802,0.0651274635006376,8.2209464175391e-06,0.00322920245365532,0.633531028292052,-2.40782529405924e-05,-9.83170439641417,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.340203548125,3.26490274778313,-0.404887591088968
30.4,0.00168261279573098,0.0683622977330901,0.0261450255362395,7.56997445005293e-06,0.000570932408901071,0.000129820821413213,125.382979889765,0.409734843246691,0.065127467681259,8.23800957586977e-06,0.0032349081367385,0.633534171085531,-2.41938428214575e-05,-9.83163503035606,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.339804262384,3.26505754216393,-0.405601714441033
30.41,0.00168277787799665,0.0683680021182989,0.026146336490934,7.53573832451858e-06,0.000570383055187813,0.000129837518472237,125.382586598804,0.409733581162204,0.0651274718462889,8.2550066647496e-06,0.0032406083450375,0.633537317559675,-2.43089760757283e-05,-9.8315655747152,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.339404492767,3.26521233730192,-0.406315145297642
30.42,0.00168294263693775,0.0683737010059092,0.0261476476049765,7.50164075859455e-06,0.000569832987114993,0.000129854176539339,125.382192826841,0.409732317546369,0.0651274759956835,8.271937954663e-06,0.00324630307144736,0.633540467709008,-2.44236545695887e-05,-9.83149602960141,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.339004239922,3.26536713318366,-0.407027882768253
30.43,0.0016831070739039,0.0683793943887845,0.0261489588779612,7.46768118627555e-06,0.000569282205896991,0.000129870795778425,125.381798574509,0.409731052401212,0.0651274801294024,8.28880371498407e-06,0.00325199230887156,0.633543621528083,-2.45378801615749e-05,-9.83142639512507,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.338603504497,3.26552192979584,-0.407739925963428
30.44,0.00168327119023919,0.0683850822598004,0.0261502703094835,7.43385904387719e-06,0.000568730712746196,0.000129887376352723,125.381403842441,0.409729785728764,0.0651274842474091,8.30560421398126e-06,0.0032576760502221,0.633546779011477,-2.46516547026015e-05,-9.83135667139696,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.338202287139,3.26567672712529,-0.408451273994842
30.45,0.00168343498728217,0.0683907646118448,0.0261515818991408,7.4001737700264e-06,0.000568178508872802,0.000129903918424788,125.381008631271,0.409728517531056,0.0651274883496705,8.32233971882181e-06,0.00326335428841958,0.633549940153794,-2.47649800359873e-05,-9.83128685852842,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.3378005885,3.26583152515897,-0.409161925975289
30.46,0.00168359846636588,0.0683964414378173,0.026152893646532,7.36662480565204e-06,0.000567625595484613,0.000129920422156504,125.380612941635,0.409727247810123,0.0651274924361568,8.33901049557631e-06,0.00326902701639311,0.633553104949658,-2.48778579974907e-05,-9.83121695663122,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.337398409228,3.26598632388397,-0.409871881018676
30.47,0.00168376162881788,0.06840211273063,0.0261542055512577,7.33321159397544e-06,0.000567071973786848,0.000129936887709088,125.380216774167,0.409725976567999,0.0651274965068421,8.3556168092232e-06,0.00327469422708051,0.633556273393722,-2.49902904153467e-05,-9.83114696581763,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.336995749973,3.26614112328752,-0.410581138240042
30.48,0.00168392447596027,0.0684077784832067,0.0261555176129202,7.29993358050101e-06,0.000566517644981954,0.000129953315243093,125.379820129503,0.409724703806721,0.0651275005617035,8.37215892365324e-06,0.00328035591342824,0.633559445480658,-2.51022791102878e-05,-9.83107688620037,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.336592611387,3.26629592335697,-0.411289696755558
30.49,0.0016840870091097,0.0684134386884835,0.0261568298311232,7.26679021300693e-06,0.000565962610269434,0.000129969704918406,125.379423008279,0.409723429528329,0.0651275046007214,8.38863710167394e-06,0.00328601206839151,0.633562621205165,-2.52138258955756e-05,-9.8310067178926,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.336188994122,3.2664507240798,-0.411997555682529
30.5,0.00168424922957741,0.0684190933394081,0.0261581422054725,7.23378094153581e-06,0.000565406870845666,0.000129986056894257,125.379025411132,0.409722153734862,0.0651275086238795,8.40505160501406e-06,0.0032916626849342,0.633565800561962,-2.53249325770384e-05,-9.83093646100795,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.335784898829,3.26660552544365,-0.412704714139396
30.51,0.00168441113866924,0.0684247424289405,0.0261594547355749,7.20090521838545e-06,0.00056485042790375,0.000130002371329218,125.3786273387,0.409720876428365,0.0651275126311649,8.42140269432796e-06,0.00329730775602903,0.633568983545788,-2.54356009531005e-05,-9.83086611566049,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.33538032616,3.26676032743625,-0.413411171245748
30.52,0.00168457273768566,0.0684303859500525,0.0261607674210393,7.16816249809959e-06,0.000564293282633344,0.000130018648381208,125.378228791621,0.40971959761088,0.0651275166225674,8.43769062920008e-06,0.00330294727465754,0.63357217015141,-2.55458328148053e-05,-9.83079568196471,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.33497527677,3.26691513004549,-0.414116926122327
30.53,0.00168473402792178,0.0684360238957276,0.026162080261476,7.13555223745869e-06,0.000563735436220512,0.000130034888207492,125.377829770533,0.409718317284454,0.06512752059808,8.45391566814927e-06,0.00330858123381009,0.633575360373608,-2.56556299458499e-05,-9.8307251600355,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.334569751312,3.26706993325936,-0.41482197789102
30.54,0.00168489501066739,0.0684416562589614,0.026163393256497,7.10307389547085e-06,0.000563176889847589,0.000130051090964688,125.377430276075,0.409717035451134,0.0651275245576988,8.47007806863317e-06,0.00331420962648587,0.633578554207188,-2.57649941226172e-05,-9.83065454998822,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.33416375044,3.26722473706601,-0.415526325674866
30.55,0.00168505568720696,0.0684472830327612,0.0261647064057157,7.07072693336262e-06,0.000562617644693034,0.000130067256808767,125.377030308887,0.409715752112971,0.0651275285014225,8.48617808705257e-06,0.00331983244569313,0.633581751646972,-2.58739271142022e-05,-9.83058385193858,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.333757274809,3.2673795414537,-0.416229968598087
